Id,month,day,dayOfTheWeek,hour,minute,place,pool,member1,member2,nhk,ntv
1,9,20,金,19,45,東京,A,日本,ロシア,1,1
2,9,21,土,13,45,札幌,D,オーストラリア,フィジー,1,0
3,9,21,土,16,1,東京,C,フランス,アルゼンチン,0,1
4,9,21,土,18,45,横浜,B,NZ,南アフリカ,0,1
5,9,22,日,14,15,花園,B,イタリア,ナミビア,0,0
6,9,22,日,16,45,横浜,A,アイルランド,スコットランド,0,1
7,9,22,日,19,15,札幌,C,イングランド,トンガ,1,0
8,9,23,月,19,15,豊田,D,ウェールズ,ジョージア,1,0
9,9,24,火,19,15,熊谷,A,ロシア,サモア,0,0
10,9,25,水,14,15,釜石,D,フィジー,ウルグアイ,0,0
11,9,26,木,16,45,福岡,B,イタリア,カナダ,0,0
12,9,26,木,19,45,神戸,C,イングランド,アメリカ,0,1
13,9,28,土,13,45,花園,C,アルゼンチン,トンガ,1,0
14,9,28,土,16,15,静岡,A,日本,アイルランド,1,0
15,9,28,土,18,45,豊田,B,南アフリカ,ナミビア,0,0
16,9,29,日,14,15,熊谷,D,ジョージア,ウルグアイ,0,0
17,9,29,日,16,45,東京,D,オーストラリア,ウェールズ,0,1
18,9,29,日,19,15,神戸,A,スコットランド,サモア,0,1
19,10,2,水,16,45,福岡,C,フランス,アメリカ,0,0
20,10,2,水,19,15,大分,B,NZ,カナダ,1,0
21,10,3,木,14,15,花園,D,ジョージア,フィジー,0,0
22,10,3,木,19,15,神戸,A,アイルランド,ロシア,0,0
23,10,4,金,18,45,静岡,B,南アフリカ,イタリア,0,1
24,10,5,土,14,15,大分,D,オーストラリア,ウルグアイ,0,0
25,10,5,土,17,0,東京,C,イングランド,アルゼンチン,0,1
26,10,5,土,19,30,豊田,A,日本,サモア,1,1
27,10,6,日,13,45,東京,B,NZ,ナミビア,0,1
28,10,6,日,16,45,熊本,C,フランス,トンガ,0,0
29,10,8,火,19,15,神戸,B,南アフリカ,カナダ,0,0
30,10,9,水,13,45,熊谷,C,アルゼンチン,アメリカ,0,0
31,10,9,水,16,15,静岡,A,スコットランド,ロシア,0,1
32,10,9,水,18,45,大分,D,ウェールズ,フィジー,0,0
33,10,11,金,19,15,静岡,D,オーストラリア,ジョージア,0,0
34,10,12,土,13,45,豊田,B,NZ,イタリア,0,1
35,10,12,土,17,15,横浜,C,イングランド,フランス,1,0
36,10,12,土,19,45,福岡,A,アイルランド,サモア,1,0
37,10,13,日,12,15,釜石,B,ナミビア,カナダ,0,1
38,10,13,日,14,15,花園,C,アメリカ,トンガ,0,0
39,10,13,日,17,15,熊本,D,ウェールズ,ウルグアイ,0,0
40,10,13,日,19,45,横浜,A,日本,スコットランド,1,1
41,10,19,土,16,15,大分,,プールC１位,プールD２位,1,0
42,10,19,土,19,15,東京,,プールB１位,プールA２位,0,1
43,10,20,日,16,15,大分,,プールD１位,プールC２位,0,1
44,10,20,日,19,15,東京,,プールA１位,プールB２位,1,0
45,10,26,土,17,0,横浜,,準々決勝１勝者,準々決勝２勝者,1,0
46,10,27,日,18,0,横浜,,準々決勝３勝者,準々決勝４勝者,0,1
47,11,1,金,18,0,東京,,準決勝１敗者,準決勝２敗者,1,0
48,11,2,土,18,0,横浜,,準決勝１勝者,準決勝２勝者,1,1
