,game,member1,member2,score1,score2,pool,point1,point2
,1,日本,ロシア,0,0,A,0,0
,2,オーストラリア,フィジー,0,0,D,0,0
,3,フランス,アルゼンチン,0,0,C,0,0
,4,NZ,南アフリカ,0,0,B,0,0
,5,イタリア,ナミビア,0,0,B,0,0
,6,アイルランド,スコットランド,0,0,A,0,0
,7,イングランド,トンガ,0,0,C,0,0
,8,ウェールズ,ジョージア,0,0,D,0,0
,9,ロシア,サモア,0,0,A,0,0
,10,フィジー,ウルグアイ,0,0,D,0,0
,11,イタリア,カナダ,0,0,B,0,0
,12,イングランド,アメリカ,0,0,C,0,0
,13,アルゼンチン,トンガ,0,0,C,0,0
,14,日本,アイルランド,0,0,A,0,0
,15,南アフリカ,ナミビア,0,0,B,0,0
,16,ジョージア,ウルグアイ,0,0,D,0,0
,17,オーストラリア,ウェールズ,0,0,D,0,0
,18,スコットランド,サモア,0,0,A,0,0
,19,フランス,アメリカ,0,0,C,0,0
,20,NZ,カナダ,0,0,B,0,0
,21,ジョージア,フィジー,0,0,D,0,0
,22,アイルランド,ロシア,0,0,A,0,0
,23,南アフリカ,イタリア,0,0,B,0,0
,24,オーストラリア,ウルグアイ,0,0,D,0,0
,25,イングランド,アルゼンチン,0,0,C,0,0
,26,日本,サモア,0,0,A,0,0
,27,NZ,ナミビア,0,0,B,0,0
,28,フランス,トンガ,0,0,C,0,0
,29,南アフリカ,カナダ,0,0,B,0,0
,30,アルゼンチン,アメリカ,0,0,C,0,0
,31,スコットランド,ロシア,0,0,A,0,0
,32,ウェールズ,フィジー,0,0,D,0,0
,33,オーストラリア,ジョージア,0,0,D,0,0
,34,NZ,イタリア,0,0,B,0,0
,35,イングランド,フランス,0,0,C,0,0
,36,アイルランド,サモア,0,0,A,0,0
,37,ナミビア,カナダ,0,0,B,0,0
,38,アメリカ,トンガ,0,0,C,0,0
,39,ウェールズ,ウルグアイ,0,0,D,0,0
,40,日本,スコットランド,0,0,A,0,0
,41,プールC１位,プールD２位,0,0,0,0,0
,42,プールB１位,プールA２位,0,0,0,0,0
,43,プールD１位,プールC２位,0,0,0,0,0
,44,プールA１位,プールB２位,0,0,0,0,0
,45,準々決勝１勝者,準々決勝２勝者,0,0,0,0,0
,46,準々決勝３勝者,準々決勝４勝者,0,0,0,0,0
,47,準決勝１敗者,準決勝２敗者,0,0,0,0,0
,48,準決勝１勝者,準決勝２勝者,0,0,0,0,0
